s1,s2,s3,s4,Dr/(CR),s5
101.0,1012.0,125.0,10391.0,0.42,23993
101.0,1012.0,128.0,10114.0,-0.49,23993
101.0,1012.0,139.0,10224.0,0.35,23993
101.0,1012.0,147.0,10153.0,-0.0037940000009939467,23993
101.0,1012.0,167.0,10385.0,-0.46,23993
101.0,1012.0,169.0,10124.0,0.00235,23993
101.0,1012.0,321.0,13855.0,2.91038304567337e-11,23993
101.0,1013.0,0.0,10150.0,0.42,23993
101.0,1013.0,0.0,10531.0,0.42,23993
101.0,1013.0,0.0,10696.0,0.22,23993
101.0,1013.0,103.0,10150.0,-0.42,23993
101.0,1013.0,137.0,10531.0,-0.42,23993
101.0,1013.0,147.0,10531.0,0.0007579999996778497,23993
101.0,1013.0,170.0,10678.0,115794.81,23993
101.0,1021.0,0.0,10295.0,0.12,23993
101.0,1021.0,0.0,10301.0,0.09,23993
101.0,1021.0,0.0,10306.0,-0.28,23993
101.0,1021.0,0.0,10323.0,0.28,23993
101.0,1021.0,0.0,10341.0,0.03,23993
101.0,1021.0,0.0,10344.0,0.29,23993
101.0,1021.0,0.0,10352.0,-0.07,23993
101.0,1021.0,0.0,10374.0,-0.46,23993
101.0,1021.0,0.0,10377.0,0.08,23993
101.0,1021.0,0.0,10379.0,-0.2,23993
101.0,1021.0,0.0,10459.0,-0.34,23993
101.0,1021.0,0.0,10511.0,0.41,23993
101.0,1021.0,0.0,10520.0,-0.12,23993
101.0,1021.0,0.0,10552.0,-0.05,23993
101.0,1021.0,0.0,10681.0,-0.46,23993
101.0,1021.0,0.0,10683.0,0.05,23993
101.0,1021.0,0.0,10687.0,-0.35,23993
101.0,1021.0,0.0,17730.0,-0.25,23993
101.0,1021.0,102.0,10377.0,-0.08,23993
101.0,1021.0,103.0,10306.0,0.28,23993
101.0,1021.0,103.0,10341.0,-0.03,23993
101.0,1021.0,110.0,17730.0,0.25,23993
101.0,1021.0,111.0,10344.0,-0.29,23993
101.0,1021.0,116.0,10511.0,-0.41,23993
101.0,1021.0,117.0,10301.0,-0.09,23993
101.0,1021.0,119.0,10683.0,-0.05,23993
101.0,1021.0,125.0,10379.0,0.2,23993
101.0,1021.0,125.0,10687.0,0.35,23993
101.0,1021.0,127.0,10377.0,81.97369999999998,23993
101.0,1021.0,127.0,10747.0,-4625.020999999997,23993
101.0,1021.0,127.0,10748.0,70.32584999999017,23993
101.0,1021.0,133.0,10459.0,0.34,23993
101.0,1021.0,133.0,10552.0,0.05,23993
101.0,1021.0,139.0,10295.0,-0.12,23993
101.0,1021.0,143.0,10323.0,-0.28,23993
101.0,1021.0,143.0,10681.0,0.46,23993
101.0,1021.0,147.0,10323.0,-0.22593000000009056,23993
101.0,1021.0,166.0,10520.0,0.12,23993
101.0,1021.0,167.0,10374.0,0.46,23993
101.0,1021.0,170.0,10495.0,244583.66,23993
101.0,1021.0,195.0,10552.0,0.007067999999890162,23993
101.0,1022.0,0.0,10314.0,0.22,23993
101.0,1022.0,0.0,10318.0,0.01,23993
101.0,1022.0,0.0,10327.0,-0.01,23993
101.0,1022.0,0.0,10340.0,-0.48,23993
101.0,1022.0,0.0,10357.0,-0.04,23993
101.0,1022.0,103.0,10314.0,-0.22,23993
101.0,1022.0,103.0,10340.0,0.48,23993
101.0,1022.0,144.0,10327.0,0.01,23993
101.0,1022.0,145.0,10318.0,-0.01,23993
101.0,1022.0,147.0,10327.0,0.002863999999021871,23993
101.0,1023.0,0.0,10372.0,-0.06,23993
101.0,1023.0,127.0,10372.0,0.06,23993
101.0,1024.0,0.0,10447.0,0.04,23993
101.0,1024.0,126.0,10447.0,-0.04,23993
101.0,1024.0,147.0,10447.0,-0.0013699999999516876,23993
101.0,1025.0,0.0,10422.0,0.18,23993
101.0,1025.0,0.0,10423.0,-0.3,23993
101.0,1025.0,0.0,10424.0,0.37,23993
101.0,1025.0,0.0,10426.0,0.25,23993
101.0,1025.0,0.0,10429.0,0.35,23993
