s1,s2,s3,s4,Dr/(CR),s5
102.0,1006.0,105.0,10041.0,8205.390196200002,63002
102.0,1006.0,150.0,10038.0,11336.4381438,63002
102.0,1008.0,105.0,10059.0,17649.922484000002,63002
102.0,1008.0,135.0,10071.0,6320.3672480000005,63002
102.0,1008.0,139.0,10066.0,6248.462036,63002
102.0,1008.0,150.0,10053.0,22319.564533800003,63002
102.0,1009.0,105.0,10075.0,8798.22932,63002
102.0,1009.0,130.0,10084.0,28569.099243999997,63002
102.0,1009.0,135.0,10081.0,7061.2822080000005,63002
102.0,1009.0,139.0,10083.0,3117.7912284000004,63002
102.0,1009.0,150.0,10087.0,17335.015363799997,63002
102.0,1010.0,139.0,10089.0,8516.574914,63002
102.0,1012.0,105.0,10129.0,5340.471504,63002
102.0,1012.0,130.0,10134.0,37828.770394,63002
102.0,1012.0,135.0,10127.0,18054.267158000002,63002
102.0,1012.0,139.0,10130.0,7193.37453,63002
102.0,1012.0,150.0,10125.0,19268.441338,63002
102.0,1013.0,105.0,10163.0,11892.581444000001,63002
102.0,1013.0,135.0,10158.0,6743.758218,63002
102.0,1013.0,150.0,10147.0,20722.374463600005,63002
102.0,1021.0,130.0,10293.0,61030.684858,63002
102.0,1021.0,135.0,10760.0,23.907600000000002,63002
102.0,1021.0,139.0,10299.0,27952.603860000003,63002
102.0,1021.0,150.0,10296.0,25893.339219200003,63002
102.0,1021.0,151.0,10329.0,11139.773966,63002
102.0,1022.0,105.0,10364.0,16009.702911999999,63002
102.0,1022.0,150.0,10380.0,17758.098115400004,63002
102.0,1024.0,130.0,10403.0,66578.090376,63002
102.0,1024.0,150.0,10410.0,17771.918242800002,63002
102.0,1024.0,151.0,10404.0,16728.739596,63002
102.0,1025.0,105.0,10461.0,13940.812129999998,63002
102.0,1025.0,135.0,10462.0,5659.87391,63002
102.0,1025.0,139.0,10463.0,11272.571376,63002
102.0,1025.0,150.0,10474.0,17355.1016122,63002
102.0,1026.0,139.0,10528.0,18904.659720000003,63002
102.0,1039.0,150.0,10579.0,30326.4021702,63002
102.0,1039.0,151.0,10733.0,14457.656052,63002
102.0,1042.0,105.0,10698.0,11046.959694000001,63002
102.0,1042.0,139.0,10709.0,10214.065062000001,63002
102.0,1042.0,150.0,10713.0,15178.886857599999,63002
102.0,1045.0,139.0,10729.0,14976.896687999999,63002
102.0,1045.0,150.0,10722.0,14854.966402,63002
102.0,1068.0,130.0,13863.0,12.89841,63002
102.0,1068.0,135.0,13863.0,1.8270000000000002,63002
102.0,1068.0,150.0,13863.0,9.261,63002
102.0,1068.0,151.0,13863.0,14.634,63002
102.0,1069.0,150.0,13765.0,270327.54115800007,63002
102.0,1069.0,159.0,13761.0,1135.4826,63002
102.0,1304.0,135.0,13292.0,-15.6858,63002
102.0,1304.0,139.0,13291.0,2867.5182,63002
102.0,1402.0,105.0,14099.0,6909.050628,63002
102.0,1404.0,130.0,14017.0,26184.921674,63002
102.0,1404.0,150.0,14018.0,18009.278151000002,63002
102.0,1405.0,105.0,14026.0,18683.024675999997,63002
102.0,1405.0,130.0,14033.0,28877.386814,63002
102.0,1405.0,135.0,14034.0,7552.458372000001,63002
102.0,1405.0,139.0,14336.0,22832.209522,63002
102.0,1405.0,150.0,14027.0,35097.14846520001,63002
102.0,1410.0,105.0,14070.0,4790.075998,63002
102.0,1410.0,150.0,14345.0,32199.3808632,63002
102.0,1414.0,105.0,14171.0,6852.157492,63002
102.0,1414.0,150.0,14177.0,11772.013751600001,63002
102.0,1422.0,105.0,14255.0,15751.825192,63002
102.0,1422.0,130.0,14208.0,23688.229106,63002
102.0,1422.0,135.0,14254.0,10447.242890000001,63002
102.0,1422.0,139.0,14245.0,13720.438266,63002
102.0,1422.0,150.0,14235.0,28985.7115138,63002
102.0,1701.0,105.0,17014.0,13418.498976000003,63002
102.0,1701.0,130.0,17013.0,32304.240776000002,63002
102.0,1701.0,150.0,17001.0,35402.4496496,63002
102.0,1701.0,151.0,17033.0,13387.044822000002,63002
102.0,1704.0,105.0,17059.0,13499.541516000001,63002
102.0,1706.0,105.0,17316.0,8983.577636,63002
102.0,1707.0,105.0,17029.0,17194.7903116,63002
102.0,1707.0,150.0,17022.0,15894.225192000002,63002
102.0,1711.0,105.0,17091.0,10317.045219999998,63002
102.0,1711.0,139.0,17072.0,12781.241039999999,63002
102.0,1711.0,139.0,17817.0,10.2624,63002
102.0,1711.0,151.0,17809.0,28348.672855,63002
102.0,1712.0,105.0,17779.0,23700.632975999997,63002
102.0,1712.0,130.0,17079.0,36109.508142000006,63002
102.0,1712.0,135.0,17781.0,12824.352598000001,63002
102.0,1712.0,139.0,17081.0,26755.342765999998,63002
102.0,1712.0,150.0,19907.0,37269.014975,63002
102.0,1712.0,151.0,17101.0,7063.70652,63002
102.0,1715.0,105.0,17466.0,7650.921282,63002
102.0,1717.0,105.0,17161.0,18058.23835,63002
102.0,1717.0,139.0,17509.0,4659.549043999999,63002
102.0,1717.0,150.0,17165.0,18847.906698000003,63002
102.0,1729.0,105.0,17293.0,11388.253950799999,63002
102.0,1729.0,135.0,17301.0,6531.2784520000005,63002
102.0,1729.0,139.0,17324.0,9416.571704,63002
102.0,1729.0,150.0,17327.0,25128.836812999998,63002
102.0,1732.0,105.0,17402.0,14106.864860000001,63002
102.0,1732.0,135.0,17435.0,6817.151579999999,63002
102.0,1732.0,139.0,17436.0,10335.49272,63002
102.0,1732.0,150.0,17408.0,24240.2522116,63002
102.0,1734.0,105.0,17445.0,14586.749925999999,63002
102.0,1734.0,135.0,17465.0,7562.220832,63002
102.0,1734.0,139.0,17442.0,10274.229606,63002
102.0,1734.0,150.0,17441.0,28413.776472600002,63002
102.0,1736.0,105.0,17633.0,21276.2811,63002
102.0,1736.0,139.0,17786.0,21755.543142,63002
102.0,1736.0,150.0,17780.0,42502.5673788,63002
102.0,1737.0,139.0,17771.0,8798.708364,63002
102.0,1737.0,150.0,17806.0,1283.3187498000002,63002
102.0,1738.0,105.0,17719.0,10134.011692,63002
102.0,1738.0,139.0,17761.0,9320.44998,63002
